architecture,automotive,business,construction,health,environment,manufacturing,technology,program
1,1,1,1,0,1,1,1,-1
1,0,0,0,0,0,0,0,0
1,0,1,0,1,1,0,0,0
1,0,1,1,0,1,0,0,-1
1,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0
0,0,0,0,0,1,0,0,-1
1,0,0,1,0,1,0,0,0
1,0,1,1,0,1,0,0,0
0,0,1,0,0,0,1,1,-1
1,0,0,1,0,1,0,1,0
0,1,0,0,0,0,1,0,-1
1,0,0,1,0,1,0,0,0
0,0,0,0,0,0,1,1,-1
1,0,0,1,0,0,0,0,0
1,0,0,1,0,1,0,0,0
0,1,0,0,1,0,0,1,-1
0,0,1,0,1,1,0,0,-1
1,0,0,1,0,0,0,0,0
1,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0
0,0,0,0,0,0,1,1,-1
0,0,1,0,1,0,1,1,-1
0,1,0,0,0,0,0,1,-1
0,1,0,0,1,1,1,0,-1
1,0,0,0,0,1,0,0,0
0,1,0,0,1,0,1,1,-1
0,1,0,1,0,0,1,1,-1
0,1,1,0,0,0,1,0,-1
0,0,0,0,0,1,0,0,-1
1,0,0,0,0,0,0,0,0
1,0,0,1,0,1,0,0,-1
0,0,0,0,0,0,0,1,-1
0,0,1,0,1,1,1,1,-1
0,1,1,0,1,0,1,1,-1
0,0,1,0,0,0,0,0,-1
0,0,0,0,1,0,0,0,-1
0,1,0,0,0,0,0,1,-1
0,0,0,0,1,1,0,0,-1
0,0,0,0,0,0,0,1,-1
1,0,0,1,0,0,0,0,-1
0,1,0,0,1,0,0,1,-1
1,0,0,0,0,1,0,0,0
1,0,0,0,0,0,0,0,0
0,0,1,0,1,1,1,1,-1
0,0,0,0,0,1,0,0,-1
1,0,0,1,0,0,0,0,0
1,0,0,1,0,1,0,0,0
1,0,1,1,0,0,0,0,0
1,0,0,0,0,0,0,0,0
0,0,0,0,1,0,1,1,-1
0,0,1,0,0,1,0,0,-1
1,0,0,0,0,0,0,0,0
1,0,1,1,0,1,0,0,0
1,0,0,0,0,0,0,0,0
0,1,0,0,1,1,0,1,-1
0,1,0,0,0,0,1,0,-1
0,0,0,0,0,1,0,0,-1
1,0,0,0,0,0,0,0,0
0,0,1,0,1,0,0,1,-1
1,0,0,1,0,1,0,0,0
1,1,1,1,0,1,0,0,0
1,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,1,-1
1,0,0,1,0,0,0,0,0
1,0,0,1,0,1,0,0,0
0,0,0,0,1,0,0,1,-1
1,0,0,0,0,0,0,0,0
0,1,1,0,0,0,1,1,-1
1,0,0,0,0,0,0,0,0
0,0,0,0,1,0,0,1,-1
1,0,0,1,0,0,0,0,0
1,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,1,0
0,0,0,0,0,0,0,1,-1
1,0,1,1,0,1,0,0,0
1,0,0,1,0,1,0,1,0
0,0,0,1,0,0,0,0,-1
1,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0
1,0,0,0,0,1,0,0,0
0,0,1,0,0,0,1,1,-1
0,0,1,0,0,0,1,1,-1
1,0,0,0,0,0,0,0,0
1,0,0,1,0,0,0,0,0
0,0,0,0,0,1,0,0,-1
0,1,0,1,0,0,0,1,-1
0,0,1,1,0,1,0,0,-1
1,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,1,-1
0,0,1,0,0,0,0,1,-1
1,0,0,0,0,0,0,1,0
1,0,0,1,0,0,0,0,0
0,0,1,0,1,1,1,1,-1
0,0,0,0,0,0,1,1,-1
1,0,1,0,0,0,0,0,0
0,1,0,0,1,0,1,0,-1
1,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0
0,0,0,0,0,1,1,0,-1
1,0,0,1,0,1,0,1,-1
1,0,0,1,0,1,0,0,0
0,0,0,0,1,0,0,0,-1
0,1,1,0,1,0,0,1,-1
0,0,1,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0
1,0,0,0,0,1,0,0,0
0,0,1,0,1,1,1,0,-1
1,0,0,0,0,0,0,0,0
1,1,0,0,0,0,0,0,0
1,1,0,0,0,0,1,1,-1
1,0,1,1,0,0,0,0,0
1,0,0,1,0,1,1,0,0
0,0,0,0,0,0,1,1,-1
